Milliseconds,X,Y,Z
1,0.014639051,0.049321699999999996,-0.02387189
51,0.07109802,-0.008735161,-0.0015013557999999998
101,0.08920749,-0.02684464,0.017140755
151,0.04446643,0.017363796,0.011281807
201,0.04553169,-0.00553937,-0.0009687239999999999
251,0.03594432,-0.006072002,-0.005229778
300,0.0034537841999999997,0.014700636000000001,9.6539516e-05
350,0.014106418999999999,0.012570109,-0.0020339875
401,0.02635695,0.0141680045,0.024597602000000003
450,0.11956751,0.012570109,0.06614288
500,0.39706865,-0.14828467,0.08478499
551,0.64207923,0.26823336,0.52846724
600,1.2934879,-0.6633395999999999,0.31967556
650,0.5435424,-2.8018560000000003,-0.8111016
701,-0.9148033999999999,-2.3794792,-1.7884808999999997
750,-1.5289278,-1.8116935,-1.8955398999999997
800,-1.266873,-1.582662,-1.6526598999999997
851,-0.8897697,-1.1911776,-1.2883396
900,-0.2847,-0.45667848,-0.80098164
950,0.47962657,-0.27931207,-0.110158235
1000,1.0655216,0.14839122,0.64884204
1050,1.0916204,0.18034913,1.2810758
1100,1.0538037,0.3726292,1.5612402
1150,0.80186874,0.359846,1.4983897
1201,0.38748127,-0.5307143,1.5814801
1250,0.5041276,0.042397488,0.96469265
1300,0.44553813,0.06423539,0.30902293
1350,0.07962012,-0.73204905,0.58918726
1400,0.14673173,0.34759548,0.15189658
1450,0.17016754,0.33108390000000004,0.09650289
1500,0.11104539999999999,-0.07744466,-0.05796032
1550,0.107849605,-0.64309955,-0.26249093
1600,0.21810439,-0.47425532,-0.32960254
1650,0.05032538,-0.22285312,-0.3407878
1700,-0.29055896,-0.0028762117,-0.13732246
1750,-0.35287684,0.50312394,-0.12187613
1801,-0.1238452,0.9382841000000001,-0.545851
1850,-0.29481999999999997,-0.07265097,-0.69978154
1900,-0.17497784,-0.3799795,-0.606571
1951,-0.01891675,-1.8883926,-0.2731436
2000,-0.09827888,-2.7059824,0.21101871
2050,-0.44342428,-1.6950473000000001,0.26108608
2100,0.4146455,0.6027260999999999,-0.5043057
2150,0.74434453,0.89993465,-0.39351836
2200,0.91638464,2.4099455,-0.1650193
2250,0.75393194,2.8568237,0.09703553
2300,0.00824747,0.36357445,0.6051662
2350,-0.034895703,0.46903554,-0.36209306
2401,-0.045015708,0.42429447,0.4022335
2450,0.23834439999999998,-1.0984998,0.005422857
2500,0.47643077,-0.9184701999999999,0.16627765
2550,0.21703912,0.22509018,-0.005229778
2600,0.23568124,0.7534609,-0.05103611
2651,0.17602648,-0.54829115,0.031521812
2701,0.06310854,0.40085867,-0.16395405
2750,0.23781176,-0.06625939,-0.0015013557999999998
2801,0.1211654,-0.0050067385,0.5124883
2850,0.034879055,0.64373875,0.21847555
2900,0.29693390000000003,0.37103128,-0.12453929
2950,0.028487477,0.14199963,-0.05849295
3001,-0.20746838,0.25172177,0.08638289
3051,0.12542646,0.15957648,0.24084610000000004
3100,0.18721175,0.3358776,0.44857246
3150,0.07056538,0.52123344,0.45230088
3201,-0.1020073,0.5654418999999999,0.17959344
3251,-0.12757362,0.5526587,0.4091577
3301,0.06683696,0.55958295,0.6216778000000001
3351,0.29107493,0.3428018,0.65576625
3401,0.10998013599999999,0.35878077,0.47520405
3451,0.10944749999999999,0.38860813,0.24510714
3501,-0.050342023,0.25438493,-0.016415043
3550,-0.112127304,0.12016172,-0.33918990000000004
3600,-0.19415258,0.27835336,-0.43026996
3650,-0.19788101,-0.44868898,-0.70457524
3700,-0.17923889999999998,0.005113265,-0.5879289000000001
3750,-0.02584096,-0.16053520000000002,-0.59005946
3800,-0.08070204,0.28953862,-0.6076363
3850,-0.3129295,0.28154916,-0.5229478
3900,-0.52651477,-0.0018109476999999998,-0.47927207
3950,-0.55208117,0.78808194,-0.47128257
4001,-0.6479549,0.8674440999999999,-0.92348695
4050,-0.6431611999999999,0.19313228,-1.0806133999999998
4100,-0.56007063,0.26077652,-0.952249
4150,-0.041287288,1.6956865,-1.3799523
4200,-0.15953152,-2.1589696,-0.38925728
4250,-0.35394213,0.5207008,-0.63000685
4301,-0.007731483000000001,-0.10727203,-0.84891844
4350,0.13661173,-1.0223334000000002,-1.030546
4400,0.11157803,0.14998911,-1.3059165000000001
4450,0.08760960400000001,-0.036964644,-0.9644995999999999
4500,0.29373807,-0.34802157,-0.5857984
4550,0.10944749999999999,-0.25587627,-0.35676673
4600,0.14247067,0.13294488,-0.16928037
4650,0.24260545,-0.84869546,-0.22254354
4700,0.5414118,0.042397488,-0.45690155
4750,0.82317406,-0.42685106,-0.10909297
4801,0.98935515,-0.5935648,0.5140862
4850,0.99042046,0.08820382,0.86242735
4900,0.60479504,0.12016172,1.513836
4950,0.7198435000000001,0.20431755,1.7375413
5000,0.67030877,0.19259965,1.6581792000000002
5050,0.671374,0.19686070000000003,1.5058465
5100,0.5930771,-0.0012783161,1.1862675
5150,0.31504333,0.3715639,0.7590968000000001
5201,0.23355071,0.34173656,0.7196821
5250,0.18934228,0.82802933,0.27120608
5300,0.12702435,0.22082913,0.60782933
5350,0.033281162,0.107378565,0.53326094
5400,0.04979274400000001,-0.25481105,0.3250019
5450,0.13128541,-0.6617417,0.0043575936
5500,-0.018384118,-0.5536174,-0.19431406
5550,-0.15154205,-0.48703850000000004,-0.3775394
5600,-0.46632743,-1.0404428,-0.49631628
5650,-0.69163066,-0.74589753,-0.69924897
5700,-0.5190579000000001,-1.6385883999999997,-1.0997881
5750,-0.39761794,-1.1906450000000002,-1.7591860000000001
5801,-0.3502137,-1.0905102,-1.7293588
5851,-0.5435591,-0.00074568443,-1.5429376000000001
5900,-0.32890844,0.35025865,-1.5541228
5950,-0.1808368,0.042397488,-1.1296153999999998
6000,0.067369595,0.35079130000000003,-0.8441248
6050,0.47749603,-0.3299121,-0.78713316
6100,0.46577814,-1.6279356000000003,-0.39831203
6150,0.77630246,0.5526587,-0.48992470000000005
6200,0.51797605,-0.49715847,0.48905247
6250,0.50625813,0.46797028,1.3785475
6300,0.5286287,-0.49183217,2.1098511
6351,0.2639107,-0.5173985,1.6965287
6400,0.44873393,-0.024714112000000003,1.7945328999999999
6450,0.5003992,0.20751333,1.6283518999999997
6500,0.5009318,0.5132439999999999,1.5111728000000002
6551,0.16058016,0.93029463,1.3540465
6600,-0.24102418,0.74121034,1.2448569999999999
6650,-0.05300518,0.37529233,0.7191494
6700,0.17016754,0.17928386,0.34470928
6750,-0.009329379,-0.003941475,-0.10642981
6801,-0.25327474,-0.104076244,-0.60976684
6851,-0.42691270000000003,-1.0441711999999999,-0.8393311
6901,-0.6570096,-0.20154785,-1.4417377
6950,-0.7459591,-1.0628133999999998,-1.8827566000000002
7000,-0.6309107,-0.33150999999999997,-1.964782
7050,-0.66926014,-0.36186999999999997,-1.6691713
7101,-0.45034847,0.48128608,-1.863582
7150,-0.67085797,0.3241597,-1.3639733
7200,-0.812538,0.65439135,-0.86329955
7251,-0.58244115,0.553724,-0.2853941
7301,-0.031167282,-0.003941475,0.071469195
7351,0.7251698000000001,-0.42631844,1.0856
7400,1.5113343000000001,-0.017257268,2.1045246
7450,0.99414885,1.3068652,2.0480657
7500,0.51850873,0.88821673,1.437137
7550,0.42103708,-0.090760455,1.9420718999999997
7600,0.42050442,-0.0966194,1.9314193
7650,0.29427072,0.5542566,1.4035813
7700,0.08601171,0.9942103999999999,0.8475136999999999
7750,-0.2591337,0.83015984,0.51941246
7800,-0.25167686,0.46637237,0.26161873
7851,-0.16379258,-0.094488874,0.093839735
7901,-0.42691270000000003,-0.8444344000000001,-0.6465184
7951,-0.48070848,-0.13230573,-1.3208302
8000,-0.92492336,-1.1214028999999999,-2.4601295
8050,-0.6538138000000001,0.26503757,-2.3589293999999996
8100,-0.5946916999999999,-0.18663415,-2.1160493
8150,-0.6234538000000001,0.48288393,-1.8726367
8200,-0.42211899999999997,0.5254945,-1.443868
8252,-0.19415258,0.400326,-0.71416265
8300,0.0641738,-0.1823731,0.001161803
8350,0.37310022,0.31190914,0.7361936
8400,0.742214,0.4083155,1.8579161
8450,0.6292960999999999,1.9002169999999998,1.1958548
8500,0.44447288,0.319366,1.4121033
8550,0.48548552,-1.0622808000000001,1.713573
8600,0.7416814,0.039201695,1.7327477
8650,0.46737605,0.94787145,1.1196885
8700,0.20425595,1.1007368999999998,1.0738821000000003
8750,0.10358855,0.7465366999999999,0.99558526
8800,0.16697174,0.15052174,0.6381894
8851,-0.13822626,-0.5115396,0.082121834
8900,-0.5504832,0.06476802400000001,-0.7019121
8950,-0.7326433000000001,-0.6399038,-1.8859525000000001
9000,-1.0879086000000002,-1.0601503,-2.5570682999999996
9050,-0.76247066,-0.21805944,-2.4643908
9100,-0.67139065,0.5308208000000001,-2.5400243
9150,-0.58830005,-0.39169738,-1.8870177
9200,-0.41040108,0.27409232,-1.292068
9251,-0.29695052,1.5598653999999998,-0.6353331
9301,0.0023885206,0.20485018,0.21954079999999998
9350,0.43648339999999997,0.17715332,1.0802737
9400,0.7166477,0.46850290000000006,1.9250276000000002
9450,0.31504333,0.85998726,1.8872108
9500,0.45459288,-1.283323,1.7300845
9551,0.66764563,0.25331968,1.7061161
9600,0.47163710000000003,0.49513450000000003,1.5793496
9650,0.12542646,0.66823983,1.3471223
9701,-0.23942629999999998,0.12229225,1.0019768
9751,0.12489383,0.46317658,0.44484404
9800,0.13022014,0.10791119,0.15189658
9850,-0.27564526,-0.32245526,-0.33599412
9900,-0.56699485,0.17928386,-1.2723608
9950,-0.73850226,-0.37092474,-2.4414873
10001,-0.7608728,-0.31872684,-2.2497401000000004
10050,-0.49935058,0.114835404,-2.1016684
10101,-0.27884105,0.73961246,-2.3019377999999997
10150,-0.63996536,-0.26599629999999996,-1.2521206
10200,-0.35980108,0.6666419,-0.72588056
10250,0.027954847,0.40405443,0.060283925
10300,0.43595076,-0.0012783161,0.7409873
10351,0.81518453,-0.42312264,1.7002572
10401,0.60905606,2.7955709,0.87787366
10450,0.45991918,-0.13390361,1.5921329
10501,0.47909394,-0.40181738,1.7620424
10551,0.61384976,0.02109222,1.6832129
10600,0.43222234,0.8008651,1.2374
10650,0.33315283,0.42962079999999997,0.9838674000000001
10700,0.24154018,-0.32192263,1.1010463
10750,0.33262020000000003,-1.1224681,0.81821895
10800,0.03967274,-0.8162049,0.11035131
10851,-0.42851058,-0.30754155,-0.5905921
10901,-0.8295823,0.27728808,-1.4230955
10951,-0.98138237,0.6139114,-2.0137842
11001,-1.0825824,-0.86680496,-2.3653212000000003
11050,-0.6458243,-0.19728678,-1.9551946
11100,-0.46739268,0.16117437,-1.7740998
11151,-0.42691270000000003,0.96171993,-1.6356156000000002
11201,-0.1456831,-0.6090111999999999,-0.78287214
11250,0.335816,-0.8156722,-0.12720247
11300,0.8093256,0.23787335,0.7308673000000001
11350,1.3307722,0.53508186,1.4989223
11400,0.9701804,0.18993649,2.0379455
11450,0.32303286,0.24959125,1.8046528999999998
11500,0.33262020000000003,0.07009434,0.86509055
11550,0.024226422999999997,0.48661238,0.27120608
11600,-0.42318425,0.66557664,0.47200826
11650,-0.24421997,0.7518630000000001,0.93965894
11700,0.09027276,1.7372317,0.25575975
11750,0.54087925,2.0328424,0.91302735
11800,0.6431445,0.6959366,1.0216843
11850,0.38055706,-0.6383059,1.0344674999999999
11900,-0.12171467400000001,-1.5784008999999999,0.6664189
11950,-0.93451077,-0.32565105,-1.3117754
12000,-1.2322518999999998,0.48501450000000007,-2.5075338
12050,-1.5193404,-0.03004043,-2.716858
12100,-1.3856498,0.012570109,-3.2026181
12150,-0.9707296999999999,-0.6159354,-2.5767759999999997
12200,-0.70441383,0.5659744999999999,-2.3599946
12250,-0.6165295999999999,0.11377014,-1.1439965
12300,-0.032232545,0.46956816,0.007553384000000001
12351,0.41624337,0.6900776999999999,1.7833476000000001
12401,0.6772329,0.05837644,2.7644553
12451,0.727833,0.21443754,2.189213
12501,0.92437404,-0.19622153,1.616634
12550,0.80293405,0.6517282,1.0744147
12600,0.42636338,0.6426735,0.94924635
12650,0.50306237,0.29379970000000005,1.1420591
12700,0.6628519,0.36091128,1.3407307
12750,0.742214,-0.116859406,1.6422002
12800,0.44287497,-0.59729326,1.5585771000000002
12850,-0.015188328000000001,-0.8742618000000001,0.49704194
12901,-0.91214025,-0.13124046,-1.5099145
12951,-1.5220035,0.2724944,-2.8835718999999997
13000,-1.8261362,0.46264395,-3.361875
13050,-1.6386498,0.43121868,-3.4678687999999993
13100,-1.2674055,0.43228394,-2.7600012
13150,-0.48337165,0.15318489999999998,-1.6872808000000001
13201,-0.12224729999999999,-0.48863634,0.1620166
13250,0.74008346,0.9292294,2.1348846000000004
13300,1.0809678999999999,0.4780903,3.1415585999999998
13350,1.0016056999999998,0.008841686999999999,2.7884238
13400,1.5203891,-0.7411038000000001,1.4355391000000002
13451,1.1715152,-0.0630636,1.1431243
13501,0.6298286999999999,0.86850935,0.85283995
13551,0.4093192,0.8125829999999999,1.0051727
13600,0.5334224,0.26184177,1.4541812
13650,0.36298020000000003,-0.7229943,1.8472635
13700,0.003986416,-1.6758726000000002,0.5300651
13750,-1.0804518,-1.8889253000000001,-0.7120321
13800,-1.6785971999999998,-0.2510826,-2.6465507
13850,-1.5805930000000001,-0.37571844,-3.6862477999999994
13900,-1.5651467,-0.42844898,-2.9442918
